"1","awokado"
"2","arbuz"
"3","ananas"
"4","arame (wodorosty / glony)"
"5","amarantus (nasiona)"
"6","andruty"
"7","anyż"
"8","ajowan"
"9","asafetyda"
"10","aronia"
"11","ajwar"
"12","aromat do ciast"
"13","agar agar"
"14","alkohol"
"15","ananasy / sok z ananasów"
"16","agrest"
"17","bez czarny"
"18","bazylia"
"19","bataty (ziemniaki czerwone"
"20","bób"
"21","brukselka"
"22","brokuły"
"23","bakłażan / oberżyna"
"24","buraki"
"25","botwina"
"26","brukiew"
"27","boczniaki"
"28","brokuły mrożone"
"29","banany"
"30","brzoskwinie"
"31","bułka tarta"
"32","biszkopty"
"33","buraki konserwowe"
"34","bułka razowa"
"35","bułka sucha (czerstwa)"
"36","bułki / kajzerki"
"37","bagietka"
"38","borówki czerwone / brusznice"
"39","bita śmietana"
"40","bulion / kostka warzywna"
"41","bulion / wywar grzybowy"
"42","bakalie"
"43","budyń"
"44","borowiki"
"45","brzoskwinie"
"46","brzoskwinie z puszki / sok z brzoskwin"
"47","czosnek w ząbkach"
"48","czosnek marynowany"
"49","czosnek granulowany"
"50","czereśnie"
"51","camembert"
"52","cukier trzcinowy"
"53","cukier puder"
"54","cukier żelujący"
"55","cukier brązowy / nierafinowany"
"56","cukier migdałowy"
"57","cukier waniliowy"
"58","cząber"
"59","cukinia / kabaczek"
"60","cykoria"
"61","cebula biała"
"62","cebula czerwona"
"63","cebulki marynowane"
"64","cebula suszona / prazona"
"65","cebula granulowana"
"66","czekolada"
"67","czekolada biał"
"68","czekolada gorzka / deserowa"
"69","czekolada mleczna"
"70","czekolada w proszku"
"71","chleb"
"72","chleb na zakwasie"
"73","chleb tostowy"
"74","chleb chrupki"
"75","chleb suchy (czerstwy)"
"76","chleb żytni"
"77","chleb czarny / pumpernikel"
"78","chleb pełnoziarnisty"
"79","ciecierzyca / cieciorka / groch włoski"
"80","cytryna / sok / skórka z cytryny"
"81","ciastka"
"82","ciastka ryżowe"
"83","ciastka kruche"
"84","chleb razowy"
"85","chleb pytlowy"
"86","ciabata"
"87","curry"
"88","cynamon"
"89","czarnuszka"
"90","czubrica"
"91","cukierki"
"92","ciasto francuskie"
"93","chrzan"
"94","chrzan tarty"
"95","chmiel"
"96","chałwa"
"97","ćwikła"
"98","dynia"
"99","daktyle"
"100","daktyle suszone"
"101","dżem"
"102","drożdże"
"103","ementaler / emmentaler"
"104","estragon"
"105","endywia / cykoria endywia"
"106","edamame / młoda soja"
"107","fruktoza"
"108","fasola"
"109","fasola czerwona"
"110","fasola perłowa"
"111","fasola mung"
"112","fasola czarna"
"113","fasola Jaś"
"114","fasola biała"
"115","fasola nakrapiana"
"116","fasola adzuki"
"117","fasolka szparagowa"
"118","fasolka szparagowa konserwowa"
"119","fasola konserwowa (z puszki)"
"120","fenkuł / koper włoski"
"121","figi świeże"
"122","figi suszone"
"123","gruszki"
"124","gruszki suszone"
"125","groch"
"126","groszek zielony"
"127","groszek konserwowy"
"128","groszek zielony mrożony"
"129","groszek cukrowy"
"130","grzyby"
"131","grzyby chińskie"
"132","grzyby leśne"
"133","grzyby mun"
"134","grzyby mrożone"
"135","grzyby pasteryzowane"
"136","grzyby suszone"
"137","grzyby marynowne"
"138","grzyby słomiane / słomy (azjatyckie)"
"139","granulat sojowy"
"140","grejpfrut"
"141","granat"
"142","grahamka"
"143","garam masala"
"144","gałka muszkatołowa"
"145","gorczyca"
"146","goździki całe"
"147","goździki mielone"
"148","gomasio (sól sezamowa)"
"149","grzanki"
"150","groszek ptysiowy"
"151","guma do żucia"
"152","guma guar"
"153","granola"
"154","galaretka"
"155","galaretka bez żelatyny"
"156","ghee (masło sklarowane)"
"157","gąski"
"158","hyzop lekarski"
"159","hijiki (wodorosty / glony)"
"160","herbatniki"
"161","harissa (ostra pasta z papryki)"
"162","herbata"
"163","herbata zielona"
"164","herbata ziołowa"
"165","herbata owocowa"
"166","herbata czarna"
"167","herbata biała"
"168","herbata czerwona"
"169","imbir"
"170","imbir kandyzowany"
"171","imbir marynowany / konserwowy"
"172","jabłka"
"173","jabłka suszone"
"174","jarmuż"
"175","jęczmień (ziarno)"
"176","jałowiec"
"177","jeżyny"
"178","jarzynka (vegeta itd)"
"179","jagody czarne / czernice"
"180","jajka "
"181","jogurt (naturalny)"
"182","jogurt owocowy"
"183","jarzębina"
"184","koper / koperek"
"185","koper mielony"
"186","koper (nasiona)"
"187","koper kwitnący"
"188","ksylitol"
"189","kolendra (liście)"
"190","kasza"
"191","kasza jaglana"
"192","kasza kukurydziana"
"193","kasza krakowska"
"194","kasza gryczana"
"195","kasza owsiana"
"196","kasza bulgur"
"197","kasza jęczmienna"
"198","kasza jęczmienna pęczak"
"199","kasza kuskus"
"200","kasza manna"
"201","kasza perłowa"
"202","kaszka ryżowa"
"203","kapusta"
"204","kapusta pekińska"
"205","kapusta czerwona"
"206","kapusta biała"
"207","kapusta włoska"
"208","kapusta chińska pako (pak choy"
"209","kalafior"
"210","kalafior mrożony"
"211","kukurydza "
"212","karczochy"
"213","karczochy z puszki"
"214","kalarepka"
"215","kiełki gryki"
"216","kiełki koniczyny"
"217","kiełki gorczycy"
"218","kiełki grochu"
"219","kiełki na patelnię"
"220","kiełki sojowe"
"221","kiełki rzeżuchy"
"222","kiełki fasoli"
"223","kiełki fasoli mung"
"224","kiełki słonecznika"
"225","kiełki lucerny"
"226","kiełki pszenicy"
"227","kiełki rzodkiewki"
"228","kiełki soczewicy"
"229","kiełki ciecierzycy"
"230","kiełki brokuła"
"231","kania"
"232","kostka sojowa"
"233","kukurydza"
"234","kukurydza (ziarno)"
"235","kukurydza mrożona"
"236","kukurydza mini marynowana"
"237","kukurydza konserwowa"
"238","kiwi"
"239","kombu (wodorosty / glony)"
"240","kolendra"
"241","kminek"
"242","kminek indyjski"
"243","kumin (kmin rzymski)"
"244","kardamon"
"245","kozieradka"
"246","kurkuma"
"247","kwiaty"
"248","kiełki"
"249","kiełbasa"
"250","kotlety "
"251","kotlety sojowe"
"252","kefir"
"253","kapusta kiszona"
"254","kapary"
"255","kwas z kiszonej kapusty"
"256","kwas z kiszonych ogórków"
"257","kwas (zakwas) buraczany"
"258","kwas mlekowy"
"259","kwiat czarnego bzu (bez)"
"260","kwiaty akacji"
"261","kwiaty cukinii"
"262","kwasek cytrynowy"
"263","karmel"
"264","kasztany jadalne"
"265","kisiel"
"266","karob (mączka chleba świętojańskiego)"
"267","kakao"
"268","kawa"
"269","kawa mielona"
"270","kawa zbożowa"
"271","kawa ropuszczalna"
"272","krem czekoldaowy"
"273","koncentrat pomidorowy"
"274","keczup"
"275","koźlaki (kozaki)"
"276","kurki"
"277","limonka"
"278","lipa (kwiaty)"
"279","lubczyk"
"280","likier"
"281","litchi"
"282","liść laurowy"
"283","liście curry"
"284","lukrecja (korzeń)"
"285","len (siemię lniane)"
"286","lody"
"287","morele"
"288","mirabelki"
"289","mozzarella (mozarella)"
"290","mirin (słodki ryżowy ocet)"
"291","melasa"
"292","miód"
"293","majeranek"
"294","melisa"
"295","mięta"
"296","makaron"
"297","makaron tortellini"
"298","makaron sojowy"
"299","makaron ryżowy"
"300","makaron razowy"
"301","makaron japoński (soba"
"302","makaron spaghetti"
"303","makaron tagiatelle"
"304","makaron lasagne"
"305","mus jabłkowy"
"306","mangold (burak liściowy)"
"307","marchewka"
"308","marchewka konserwowa"
"309","migdały"
"310","mak"
"311","mrożona mieszanka warzyw"
"312","marchew"
"313","marchew mrożona"
"314","mango"
"315","melon"
"316","melon pepino"
"317","mandarynki"
"318","marakuja"
"319","mąka"
"320","mąka pszenna"
"321","mąka pszenna graham"
"322","mąka pszenna orkiszowa"
"323","mąka pszenna razowa"
"324","mąka pszenna tortowa"
"325","mąka żytnia"
"326","mąka żytnia pytlowa"
"327","mąka żytnia razowa"
"328","mąka krupczatka (pszenna grubo mielona)"
"329","mąka ziemniaczana"
"330","mąka kukurydziana"
"331","mąka sojowa"
"332","mąka owsiana"
"333","mąka ryżowa"
"334","mąka grochowa"
"335","mąka jaglana"
"336","mąka gryczana"
"337","mąka z amarantusa"
"338","mąka z grochu włoskiego (ciecierzycy)"
"339","morele"
"340","morele suszone"
"341","makaron"
"342","maliny mrożone"
"343","mieszanka przypraw do grilla"
"344","mieszanka przypraw do gulaszu"
